name,longName,year,value
industryAll,"Industry, all chemicals ",2012,51.31
industryTop,"Industry, TSCA top 10 chemicals",2012,72.33
consumerAll,"Consumer and commercial, all chemicals ",2012,49.32
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2012,70.69
industryAll,"Industry, all chemicals ",2013,48.40
industryTop,"Industry, TSCA top 10 chemicals",2013,59.32
consumerAll,"Consumer and commercial, all chemicals ",2013,46.42
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2013,55.00
industryAll,"Industry, all chemicals ",2014,48.15
industryTop,"Industry, TSCA top 10 chemicals",2014,59.91
consumerAll,"Consumer and commercial, all chemicals ",2014,46.12
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2014,55.88
industryAll,"Industry, all chemicals ",2015,51.32
industryTop,"Industry, TSCA top 10 chemicals",2015,62.45
consumerAll,"Consumer and commercial, all chemicals ",2015,49.16
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2015,54.67
industryAll,"Industry, all chemicals ",2016,56.14
industryTop,"Industry, TSCA top 10 chemicals",2016,70.16
consumerAll,"Consumer and commercial, all chemicals ",2016,53.94
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2016,66.88
industryAll,"Industry, all chemicals ",2017,55.80
industryTop,"Industry, TSCA top 10 chemicals",2017,71.79
consumerAll,"Consumer and commercial, all chemicals ",2017,53.66
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2017,68.42
industryAll,"Industry, all chemicals ",2018,55.81
industryTop,"Industry, TSCA top 10 chemicals",2018,69.02
consumerAll,"Consumer and commercial, all chemicals ",2018,53.71
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2018,64.85
industryAll,"Industry, all chemicals ",2019,54.70
industryTop,"Industry, TSCA top 10 chemicals",2019,68.88
consumerAll,"Consumer and commercial, all chemicals ",2019,54.71
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2019,64.90
industryAll,"Industry, all chemicals ",2020,55.36
industryTop,"Industry, TSCA top 10 chemicals",2020,76.24
consumerAll,"Consumer and commercial, all chemicals ",2020,54.91
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2020,70.15
industryAll,"Industry, all chemicals ",2021,55.65
industryTop,"Industry, TSCA top 10 chemicals",2021,72.77
consumerAll,"Consumer and commercial, all chemicals ",2021,55.38
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2021,67.81
industryAll,"Industry, all chemicals ",2022,55.56
industryTop,"Industry, TSCA top 10 chemicals",2022,73.36
consumerAll,"Consumer and commercial, all chemicals ",2022,55.29
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2022,67.79
industryAll,"Industry, all chemicals ",2023,55.03
industryTop,"Industry, TSCA top 10 chemicals",2023,75.00
consumerAll,"Consumer and commercial, all chemicals ",2023,55.01
consumerTop,"Consumer and commercial, TSCA top 10 chemicals",2023,69.06